worker_id,paid,task_name,batch_name,unit_id,ngx_user_agent,ngx_os,ngx_browser,ngx_device,ngx_os_version,ngx_browser_version,ngx_device_type,ngx_orientation,nav_vendor_sub,nav_product_sub,nav_vendor,nav_max_touch_points,nav_global_privacy_control,nav_pdf_viewer_enabled,nav_hardware_concurrency,nav_cookie_enabled,nav_app_code_name,nav_app_name,nav_app_version,nav_platform,nav_product,nav_user_agent,nav_language,nav_on_line,nav_webdriver,nav_device_memory,nav_window_controls_overlay_visible,nav_window_controls_overlay_ongeometrychange,cf_fl,cf_h,cf_ip,cf_ts,cf_visit_scheme,cf_uag,cf_colo,cf_sliver,cf_http,cf_loc,cf_tls,cf_sni,cf_warp,cf_gateway,cf_kex,nav_build_i_d,nav_do_not_track,nav_oscpu,nav_standalone,nav_connection_downlink,nav_connection_effective_type,nav_connection_onchange,nav_connection_rtt,nav_connection_save_data
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Windows,Chrome,Unknown,windows-10,108.0.0.0,desktop,landscape,,20030107,Google Inc.,10,True,True,8,True,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Win32,Gecko,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",it-IT,True,False,8.0,False,,270f28,www.cloudflare.com,2a01:e11:600d:270:9d38:d962:8540:1a08,1673191591.406,https,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",Mac,Safari,Macintosh,mac-os-x-15,15.6.1,desktop,landscape,,20030107,"Apple Computer, Inc.",0,,,8,True,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",MacIntel,Gecko,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",it-IT,True,False,,,,525f137,www.cloudflare.com,176.200.12.221,1673273954.072,https,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,
AYKZJHEV29ZHL,True,sctask,scbatch,unit_9,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:108.0) Gecko/20100101 Firefox/108.0,Mac,Firefox,Macintosh,mac-os-x-14,108.0,desktop,landscape,,20100101,,0,,True,2,True,Mozilla,Netscape,5.0 (Macintosh),MacIntel,Gecko,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:108.0) Gecko/20100101 Firefox/108.0,en-US,True,False,,,,609f54,www.cloudflare.com,5.102.9.40,1673284134.702,https,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:108.0) Gecko/20100101 Firefox/108.0,FRA,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,20181001000000,unspecified,Intel Mac OS X 10.14,,,,,,
A1B57KPKLXSZZG,True,sctask,scbatch,unit_8,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/108.1  Mobile/15E148 Safari/605.1.15",iOS,Firefox,iPhone,iOS,108.1,mobile,portrait,,20030107,"Apple Computer, Inc.",5,,,4,True,Mozilla,Netscape,"5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/108.1  Mobile/15E148 Safari/605.1.15",iPhone,Gecko,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/108.1  Mobile/15E148 Safari/605.1.15",it-IT,True,False,,,,270f35,www.cloudflare.com,37.163.219.149,1673283118.354,https,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/108.1  Mobile/15E148 Safari/605.1.15",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,False,,,,,
A1FPA1WHFQLP87,True,sctask,scbatch,unit_2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Linux,Chrome,Unknown,unknown,108.0.0.0,desktop,landscape,,20030107,Google Inc.,0,True,False,4,True,Mozilla,Netscape,"5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Linux x86_64,Gecko,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",en-US,True,False,8.0,False,,39f90,www.cloudflare.com,46.19.239.69,1673199210.946,https,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,
A3B80S5P6EWOET,True,sctask,scbatch,unit_7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.76",Windows,MS-Edge-Chromium,Unknown,windows-10,108.0.1462.76,desktop,landscape,,20030107,Google Inc.,0,,True,4,True,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.76",Win32,Gecko,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.76",it,True,False,8.0,False,,525f109,www.cloudflare.com,151.49.58.244,1673282695.974,https,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.76",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,1.6,4g,,100.0,False
ALFKPWKAP8BPM,True,sctask,scbatch,unit_4,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:108.0) Gecko/20100101 Firefox/108.0,Linux,Firefox,Unknown,unknown,108.0,desktop,landscape,,20100101,,0,,True,8,True,Mozilla,Netscape,5.0 (X11),Linux x86_64,Gecko,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:108.0) Gecko/20100101 Firefox/108.0,it,True,False,,,,270f49,www.cloudflare.com,151.51.133.18,1673258898.802,https,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:108.0) Gecko/20100101 Firefox/108.0,MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,20181001000000,1,Linux x86_64,,,,,,
AYZVRW92TO2EZ,True,sctask,scbatch,unit_10,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0,Windows,Firefox,Unknown,windows-10,102.0,desktop,landscape,,20100101,,0,,True,4,True,Mozilla,Netscape,5.0 (Windows),Win32,Gecko,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0,en-US,True,False,,,,270f8,www.cloudflare.com,82.52.110.200,1673298963.395,https,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:102.0) Gecko/20100101 Firefox/102.0,MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,20181001000000,1,Windows NT 10.0; Win64; x64,,,,,,
AUKIFC96442HM,True,sctask,scbatch,unit_0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Windows,Chrome,Unknown,windows-10,108.0.0.0,desktop,landscape,,20030107,Google Inc.,0,,True,8,True,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Win32,Gecko,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",it-IT,True,False,8.0,False,,270f60,www.cloudflare.com,91.187.193.162,1673185317.023,https,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,10.0,4g,,100.0,False
A34X6QMZ95D6IB,True,sctask,scbatch,unit_5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",Mac,Safari,Macintosh,mac-os-x-15,16.2,desktop,landscape,,20030107,"Apple Computer, Inc.",0,,,8,True,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",MacIntel,Gecko,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",it-IT,True,False,,,,49f262,www.cloudflare.com,2606:54c0:3900:78::31:106,1673265731.745,https,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",MRS,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,
A270Z11G9U45GJ,True,sctask,scbatch,unit_3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",Mac,Safari,Macintosh,mac-os-x-15,16.2,desktop,landscape,,20030107,"Apple Computer, Inc.",0,,,4,True,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",MacIntel,Gecko,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",en-GB,True,False,,,,525f139,www.cloudflare.com,2a01:e11:600d:270:87c:3eac:fdd2:9253,1673201841.225,https,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",MXP,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,,,,,,,,
AMUFIJCOP7UOA,True,sctask,scbatch,unit_11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Windows,Chrome,Unknown,windows-10,108.0.0.0,desktop,landscape,,20030107,Google Inc.,0,,True,8,True,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Win32,Gecko,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",it-IT,True,False,8.0,False,,126f60,www.cloudflare.com,2a0e:425:50ee:0:f4e3:a101:b9a0:1b4a,1673353265.237,https,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",FCO,none,http/2,IT,TLSv1.3,plaintext,off,off,X25519,,1,,,10.0,4g,,50.0,False
